groupcode,groupname,groupcode_s,groupname_s,countrycode,countryname,countrycode_s,countryname_s
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,LBN,Lebanon,446,Lebanon
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,LSO,"Lesotho, Kingdom of",666,Lesotho
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,LBR,Liberia,668,Liberia
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MDG,"Madagascar, Republic of",674,Madagascar
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MWI,Malawi,676,Malawi
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MYS,Malaysia,548,Malaysia
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MDV,Maldives,556,Maldives
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MLI,Mali,678,Mali
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MHL,"Marshall Islands, Republic of the",867,Marshall Islands
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MRT,"Mauritania, Islamic Republic of",682,Mauritania
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MUS,Mauritius,684,Mauritius
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MEX,Mexico,273,Mexico
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,FSM,"Micronesia, Federated States of",868,Micronesia
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MDA,"Moldova, Republic of",921,Moldova
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MNG,Mongolia,948,Mongolia
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MNE,Montenegro,943,"Montenegro, Rep. of"
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MAR,Morocco,686,Morocco
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MOZ,"Mozambique, Republic of",688,Mozambique
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MMR,Myanmar,518,Myanmar
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,NAM,Namibia,728,Namibia
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,NRU,"Nauru, Republic of",836,Nauru
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,NPL,Nepal,558,Nepal
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,NIC,Nicaragua,278,Nicaragua
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,NER,Niger,692,Niger
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,MKD,"North Macedonia, Republic of",962,North Macedonia
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,PAK,Pakistan,564,Pakistan
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,PLW,"Palau, Republic of",565,Palau
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,PAN,Panama,283,Panama
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,PNG,Papua New Guinea,853,Papua New Guinea
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,PRY,Paraguay,288,Paraguay
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,PER,Peru,293,Peru
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,PHL,Philippines,566,Philippines
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,POL,"Poland, Republic of",964,Poland
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,ROU,Romania,968,Romania
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,RUS,Russian Federation,922,Russia
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,RWA,Rwanda,714,Rwanda
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,WSM,Samoa,862,Samoa
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,SEN,Senegal,722,Senegal
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,SRB,"Serbia, Republic of",942,Serbia
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,SYC,Seychelles,718,Seychelles
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,SLE,Sierra Leone,724,Sierra Leone
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,SLB,Solomon Islands,813,Solomon Islands
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,SOM,Somalia,726,Somalia
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,ZAF,South Africa,199,South Africa
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,LKA,Sri Lanka,524,Sri Lanka
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,KNA,St. Kitts and Nevis,361,St. Kitts and Nevis
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,LCA,St. Lucia,362,St. Lucia
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,VCT,St. Vincent and the Grenadines,364,St. Vincent and the Grenadines
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,SDN,Sudan,732,Sudan
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,SUR,Suriname,366,Suriname
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,STP,"São Tomé and Príncipe, Democratic Republic of",716,São Tomé and Príncipe
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,TJK,"Tajikistan, Republic of",923,Tajikistan
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,TZA,"Tanzania, United Republic of",738,Tanzania
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,THA,Thailand,578,Thailand
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,TGO,Togo,742,Togo
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,TON,Tonga,866,Tonga
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,TTO,Trinidad and Tobago,369,Trinidad and Tobago
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,TUN,Tunisia,744,Tunisia
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,TUV,Tuvalu,869,Tuvalu
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,TUR,"Türkiye, Republic of",186,Türkiye
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,UGA,Uganda,746,Uganda
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,UKR,Ukraine,926,Ukraine
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,URY,Uruguay,298,Uruguay
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,UZB,"Uzbekistan, Republic of",927,Uzbekistan
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,VUT,Vanuatu,846,Vanuatu
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,VNM,Vietnam,582,Vietnam
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,YEM,"Yemen, Republic of",474,Yemen
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,ZMB,Zambia,754,Zambia
G092,EMDEs by Source of Export Earnings: Nonfuel,92,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,ZWE,Zimbabwe,698,Zimbabwe
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),AFG,"Afghanistan, Islamic Republic of",512,Afghanistan
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),BEN,Benin,638,Benin
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),BOL,Bolivia,218,Bolivia
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),BWA,Botswana,616,Botswana
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),BFA,Burkina Faso,748,Burkina Faso
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),BDI,Burundi,618,Burundi
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),CAF,Central African Republic,626,Central African Republic
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),CHL,Chile,228,Chile
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),COD,"Congo, Democratic Republic of the",636,"Congo, Democratic Republic of the"
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),ERI,"Eritrea, The State of",643,Eritrea
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),GHA,Ghana,652,Ghana
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),GIN,Guinea,656,Guinea
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),GNB,Guinea-Bissau,654,Guinea-Bissau
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),KIR,Kiribati,826,Kiribati
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),LBR,Liberia,668,Liberia
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),MWI,Malawi,676,Malawi
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),MLI,Mali,678,Mali
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),MHL,"Marshall Islands, Republic of the",867,Marshall Islands
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),MRT,"Mauritania, Islamic Republic of",682,Mauritania
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),MNG,Mongolia,948,Mongolia
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),PNG,Papua New Guinea,853,Papua New Guinea
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),PRY,Paraguay,288,Paraguay
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),PER,Peru,293,Peru
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),SLE,Sierra Leone,724,Sierra Leone
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),SLB,Solomon Islands,813,Solomon Islands
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),SOM,Somalia,726,Somalia
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),ZAF,South Africa,199,South Africa
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),SDN,Sudan,732,Sudan
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),SUR,Suriname,366,Suriname
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),TJK,"Tajikistan, Republic of",923,Tajikistan
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),TUV,Tuvalu,869,Tuvalu
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),URY,Uruguay,298,Uruguay
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),YEM,"Yemen, Republic of",474,Yemen
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),ZMB,Zambia,754,Zambia
G089,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),89,Emerging Market and Developing Economies by Source of Export Earnings: Primary Products (excluding Fuel),ZWE,Zimbabwe,698,Zimbabwe
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",ALB,Albania,914,Albania
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",ATG,Antigua and Barbuda,311,Antigua and Barbuda
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",ABW,"Aruba, Kingdom of the Netherlands",314,Aruba
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",BHS,"Bahamas, The",313,"Bahamas, The"
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",BRB,Barbados,316,Barbados
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",BLZ,Belize,339,Belize
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",CPV,Cabo Verde,624,Cabo Verde
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",COM,"Comoros, Union of the",632,Comoros
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",DJI,Djibouti,611,Djibouti
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",DMA,Dominica,321,Dominica
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",DOM,Dominican Republic,243,Dominican Republic
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",EGY,"Egypt, Arab Republic of",469,Egypt
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",FJI,"Fiji, Republic of",819,Fiji
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",GMB,"Gambia, The",648,"Gambia, The"
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",GEO,Georgia,915,Georgia
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",GRD,Grenada,328,Grenada
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",GTM,Guatemala,258,Guatemala
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",JAM,Jamaica,343,Jamaica
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",KOS,"Kosovo, Republic of",967,Kosovo
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",KGZ,Kyrgyz Republic,917,Kyrgyz Republic
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",LBN,Lebanon,446,Lebanon
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",MDV,Maldives,556,Maldives
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",MUS,Mauritius,684,Mauritius
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",MDA,"Moldova, Republic of",921,Moldova
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",MNE,Montenegro,943,"Montenegro, Rep. of"
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",MOZ,"Mozambique, Republic of",688,Mozambique
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",NRU,"Nauru, Republic of",836,Nauru
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",NPL,Nepal,558,Nepal
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",PLW,"Palau, Republic of",565,Palau
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",PAN,Panama,283,Panama
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",PHL,Philippines,566,Philippines
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",WSM,Samoa,862,Samoa
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",SYC,Seychelles,718,Seychelles
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",KNA,St. Kitts and Nevis,361,St. Kitts and Nevis
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",LCA,St. Lucia,362,St. Lucia
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",VCT,St. Vincent and the Grenadines,364,St. Vincent and the Grenadines
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",STP,"São Tomé and Príncipe, Democratic Republic of",716,São Tomé and Príncipe
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",TON,Tonga,866,Tonga
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",TUN,Tunisia,744,Tunisia
G084,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",84,"Emerging Market and Developing Economies by Source of Export Earnings: Services (including Income, Transfers)",VUT,Vanuatu,846,Vanuatu
G1515,Emerging Asia,1515,Emerging Asia,CHN,"China, People's Republic of",924,China
G1515,Emerging Asia,1515,Emerging Asia,IND,India,534,India
G1515,Emerging Asia,1515,Emerging Asia,IDN,Indonesia,536,Indonesia
G1515,Emerging Asia,1515,Emerging Asia,MYS,Malaysia,548,Malaysia
G1515,Emerging Asia,1515,Emerging Asia,PHL,Philippines,566,Philippines
G1515,Emerging Asia,1515,Emerging Asia,THA,Thailand,578,Thailand
G1515,Emerging Asia,1515,Emerging Asia,VNM,Vietnam,582,Vietnam
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,AFG,"Afghanistan, Islamic Republic of",512,Afghanistan
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,ALB,Albania,914,Albania
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,DZA,Algeria,612,Algeria
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,AGO,Angola,614,Angola
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,ATG,Antigua and Barbuda,311,Antigua and Barbuda
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,ARG,Argentina,213,Argentina
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,ARM,"Armenia, Republic of",911,Armenia
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,ABW,"Aruba, Kingdom of the Netherlands",314,Aruba
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,AZE,"Azerbaijan, Republic of",912,Azerbaijan
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BHS,"Bahamas, The",313,"Bahamas, The"
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BHR,"Bahrain, Kingdom of",419,Bahrain
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BGD,Bangladesh,513,Bangladesh
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BRB,Barbados,316,Barbados
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BLR,"Belarus, Republic of",913,Belarus
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BLZ,Belize,339,Belize
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BEN,Benin,638,Benin
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BTN,Bhutan,514,Bhutan
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BOL,Bolivia,218,Bolivia
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BIH,Bosnia and Herzegovina,963,Bosnia and Herzegovina
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BWA,Botswana,616,Botswana
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BRA,Brazil,223,Brazil
G200,Emerging Market and Developing Economies,200,Emerging Market and Developing Economies,BRN,Brunei Darussalam,516,Brunei Darussalam
