countrycode,countryname,countrycode_s,countryname_s,G001,G080,G083,G084,G087,G089,G092,G110,G119,G1201,G1515,G1614,G1626,G1627,G200,G201,G202,G205,G209,G216,G400,G401,G402,G406,G505,G510,G603,G606,G711,G903,G906,G92031,G940,G995,G998,GX117,GX1212,GX1218,GX123,GX1518,GX1603,GX2041,GX229,GX440,GX504,GX604,GX88,GX93,GX970,groupa,groupaplus
SWZ,"Eswatini, Kingdom of",734,Eswatini,1,,,,,,1,,,1,,,1,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,1,,,
SYC,Seychelles,718,Seychelles,1,,,1,,,1,,,1,,,1,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,1,1,,,
SYR,Syrian Arab Republic,463,Syria,1,,,,,,,,,,,,,,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
TCD,Chad,628,Chad,1,1,,,1,,,,,,,1,,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,,,,
TGO,Togo,742,Togo,1,,,,,,1,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,
THA,Thailand,578,Thailand,1,,1,,,,1,,,1,1,,,,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,,,1,,1,1
TJK,"Tajikistan, Republic of",923,Tajikistan,1,,,,,1,1,,,,,,,,1,1,,,,,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,,
TKM,Turkmenistan,925,Turkmenistan,1,1,,,,,,,,1,,,,,1,,,,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
TLS,"Timor-Leste, Democratic Republic of",537,Timor-Leste,1,1,,,,,,,,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,,,,
TON,Tonga,866,Tonga,1,,,1,,,1,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,
TTO,Trinidad and Tobago,369,Trinidad and Tobago,1,,1,,,,1,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
TUN,Tunisia,744,Tunisia,1,,,1,,,1,,,1,,,,,1,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,
TUR,"Türkiye, Republic of",186,Türkiye,1,,1,,,,1,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,1,1
TUV,Tuvalu,869,Tuvalu,1,,,,,1,1,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,
TWN,Taiwan Province of China,528,Taiwan Province of China,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,
TZA,"Tanzania, United Republic of",738,Tanzania,1,,,,,,1,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
UGA,Uganda,746,Uganda,1,,,,,,1,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
UKR,Ukraine,926,Ukraine,1,,,,1,,1,,,1,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,1,,
URY,Uruguay,298,Uruguay,1,,,,,1,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,1
USA,United States,111,United States,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1
UZB,"Uzbekistan, Republic of",927,Uzbekistan,1,,,,,,1,,,,,,,,1,1,,,1,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1
VCT,St. Vincent and the Grenadines,364,St. Vincent and the Grenadines,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,
VEN,"Venezuela, República Bolivariana de",299,Venezuela,1,1,,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
VNM,Vietnam,582,Vietnam,1,,1,,,,1,,,1,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,1,,,
VUT,Vanuatu,846,Vanuatu,1,,,1,,,1,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,
WBG,West Bank and Gaza,487,West Bank and Gaza,1,,,,,,,,,1,,,,,1,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,
WSM,Samoa,862,Samoa,1,,,1,1,,1,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,,1,,,
YEM,"Yemen, Republic of",474,Yemen,1,,,,1,1,1,,,,,,,,1,1,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,
ZAF,South Africa,199,South Africa,1,,,,,1,1,,,1,,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,1
ZMB,Zambia,754,Zambia,1,,,,1,1,1,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
ZWE,Zimbabwe,698,Zimbabwe,1,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,,1,,,
