name,Agency ID,Resource ID,Latest Version,Unique ID
GAS Live 2025 July GAS1,IMF.RES.GAS,GAS_LIVE_2025_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2025_JUL_GAS1_VINTAGE(1.0.0)
International Liquidity (IL) 2026 February,IMF.STA,IL_2026_FEB_VINTAGE,1.0.0,IMF.STA:IL_2026_FEB_VINTAGE(1.0.0)
WEO Live 2013 October,IMF.RES.WEO,WEO_LIVE_2013_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2013_OCT_VINTAGE(1.0.0)
Fossil Fuel Subsidies,IMF.STA,FFS,1.0.2,IMF.STA:FFS(1.0.2)
GAS Live 2018 October GAS2,IMF.RES.GAS,GAS_LIVE_2018_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2018_OCT_GAS2_VINTAGE(1.0.0)
GAS Live 2006 April Final,IMF.RES.GAS,GAS_LIVE_2006_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2006_APR_FINAL_VINTAGE(1.0.0)
WEO Live 2021 April,IMF.RES.WEO,WEO_LIVE_2021_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2021_APR_VINTAGE(1.0.0)
WEO Live 2006 April,IMF.RES.WEO,WEO_LIVE_2006_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2006_APR_VINTAGE(1.0.0)
GAS Live 2018 January GAS1c,IMF.RES.GAS,GAS_LIVE_2018_JAN_GAS1C_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2018_JAN_GAS1C_VINTAGE(1.0.0)
GEE Live 2019 July GAS1,IMF.RES.GEE,GEE_LIVE_2019_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2019_JUL_GAS1_VINTAGE(1.0.0)
GEE Live 2016 July Final,IMF.RES.GEE,GEE_LIVE_2016_JUL_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2016_JUL_FINAL_VINTAGE(1.0.0)
Effective Exchange Rates (ER) 2026 February,IMF.STA,EER_2026_FEB_VINTAGE,1.0.0,IMF.STA:EER_2026_FEB_VINTAGE(1.0.0)
Western Hemisphere Regional Economic Outlook (WHDREO),IMF.WHD,WHDREO,5.0.0,IMF.WHD:WHDREO(5.0.0)
WEO Live 2009 October,IMF.RES.WEO,WEO_LIVE_2009_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2009_OCT_VINTAGE(1.0.0)
"Monetary and Financial Statistics (MFS), Central Bank Data 2026 January",IMF.STA,MFS_CBS_2026_JAN_VINTAGE,1.0.0,IMF.STA:MFS_CBS_2026_JAN_VINTAGE(1.0.0)
WEO Live 2010 April,IMF.RES.WEO,WEO_LIVE_2010_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2010_APR_VINTAGE(1.0.0)
WEO Live 2005 September,IMF.RES.WEO,WEO_LIVE_2005_SEP_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2005_SEP_VINTAGE(1.0.0)
Export Diversification (ED),IMF.RES,ED,1.0.0,IMF.RES:ED(1.0.0)
GAS Live 2005 September Final,IMF.RES.GAS,GAS_LIVE_2005_SEP_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2005_SEP_FINAL_VINTAGE(1.0.0)
GEE Live 2016 October Final,IMF.RES.GEE,GEE_LIVE_2016_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2016_OCT_FINAL_VINTAGE(1.0.0)
"Monetary and Financial Statistics (MFS), Financial Market Prices 2026 February",IMF.STA,MFS_FMP_2026_FEB_VINTAGE,1.0.0,IMF.STA:MFS_FMP_2026_FEB_VINTAGE(1.0.0)
GEE Live 2023 July Final,IMF.RES.GEE,GEE_LIVE_2023_JUL_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2023_JUL_FINAL_VINTAGE(1.0.0)
GEE Live 2023 October Final,IMF.RES.GEE,GEE_LIVE_2023_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2023_OCT_FINAL_VINTAGE(1.0.0)
IMF Reported SDG Data,IMF.STA,SDG,2.0.1,IMF.STA:SDG(2.0.1)
GEE Live 2023 January GAS1,IMF.RES.GEE,GEE_LIVE_2023_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2023_JAN_GAS1_VINTAGE(1.0.0)
Effective Exchange Rates (ER) 2026 January,IMF.STA,EER_2026_JAN_VINTAGE,1.0.0,IMF.STA:EER_2026_JAN_VINTAGE(1.0.0)
WEO Live 1991 May,IMF.RES.WEO,WEO_LIVE_1991_MAY_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1991_MAY_VINTAGE(1.0.0)
WEO Live 2016 October,IMF.RES.WEO,WEO_LIVE_2016_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2016_OCT_VINTAGE(1.0.0)
WEO Live 2012 January,IMF.RES.WEO,WEO_LIVE_2012_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2012_JAN_VINTAGE(1.0.0)
Quarterly Government Finance Statistics (QGFS) 2026 February,IMF.STA,QGFS_2026_FEB_VINTAGE,1.0.0,IMF.STA:QGFS_2026_FEB_VINTAGE(1.0.0)
GEE Live 2026 April GAS2b,IMF.RES.GEE,GEE_LIVE_2026_APR_GAS2B_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2026_APR_GAS2B_VINTAGE(1.0.0)
Reported Social Unrest Index (RSUI),IMF.WHD,RSUI,1.0.0,IMF.WHD:RSUI(1.0.0)
GAS Live 2016 January GAS1b,IMF.RES.GAS,GAS_LIVE_2016_JAN_GAS1B_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2016_JAN_GAS1B_VINTAGE(1.0.0)
WEO Live 2004 April,IMF.RES.WEO,WEO_LIVE_2004_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2004_APR_VINTAGE(1.0.0)
GAS Live 2026 April GAS2b,IMF.RES.GAS,GAS_LIVE_2026_APR_GAS2B_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2026_APR_GAS2B_VINTAGE(1.0.0)
GEE Live 2014 October GAS2,IMF.RES.GEE,GEE_LIVE_2014_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2014_OCT_GAS2_VINTAGE(1.0.0)
"Production Indexes, World and Country Group Aggregates",IMF.STA,PI_WCA,1.0.0,IMF.STA:PI_WCA(1.0.0)
Financial Stress Index (FSI),IMF.RES,FSI,3.0.1,IMF.RES:FSI(3.0.1)
GAS Live 2014 January GAS1,IMF.RES.GAS,GAS_LIVE_2014_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2014_JAN_GAS1_VINTAGE(1.0.0)
GAS Live 2015 April GAS3,IMF.RES.GAS,GAS_LIVE_2015_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2015_APR_GAS3_VINTAGE(1.0.0)
GAS Live 2017 October Final,IMF.RES.GAS,GAS_LIVE_2017_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2017_OCT_FINAL_VINTAGE(1.0.0)
Asia and Pacific Regional Economic Outlook (APDREO) 2025 October,IMF.APD,APDREO_2025_OCT_VINTAGE,1.0.0,IMF.APD:APDREO_2025_OCT_VINTAGE(1.0.0)
GEE Live 2017 October Final,IMF.RES.GEE,GEE_LIVE_2017_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2017_OCT_FINAL_VINTAGE(1.0.0)
WEO Live 2017 July,IMF.RES.WEO,WEO_LIVE_2017_JUL_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2017_JUL_VINTAGE(1.0.0)
ISORA 2018 Data,ISORA,ISORA_2018_DATA_PUB,2.0.0,ISORA:ISORA_2018_DATA_PUB(2.0.0)
Consumer Price Index (CPI),IMF.STA,CPI,5.0.0,IMF.STA:CPI(5.0.0)
GAS Live 2016 July GAS1,IMF.RES.GAS,GAS_LIVE_2016_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2016_JUL_GAS1_VINTAGE(1.0.0)
GAS Live 2017 April GAS3,IMF.RES.GAS,GAS_LIVE_2017_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2017_APR_GAS3_VINTAGE(1.0.0)
GEE Live 2016 October GAS2,IMF.RES.GEE,GEE_LIVE_2016_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2016_OCT_GAS2_VINTAGE(1.0.0)
WEO Live 2019 January,IMF.RES.WEO,WEO_LIVE_2019_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2019_JAN_VINTAGE(1.0.0)
GAS Live 2018 April Final,IMF.RES.GAS,GAS_LIVE_2018_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2018_APR_FINAL_VINTAGE(1.0.0)
WEO Live 2021 October,IMF.RES.WEO,WEO_LIVE_2021_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2021_OCT_VINTAGE(1.0.0)
GAS Live 2015 October GAS2,IMF.RES.GAS,GAS_LIVE_2015_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2015_OCT_GAS2_VINTAGE(1.0.0)
WEO Live 1998 May,IMF.RES.WEO,WEO_LIVE_1998_MAY_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1998_MAY_VINTAGE(1.0.0)
GEE Live 2018 April Final,IMF.RES.GEE,GEE_LIVE_2018_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2018_APR_FINAL_VINTAGE(1.0.0)
"Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2024",ILO,DF_UNE_2EAP_SEX_AGE_RT,1.0,ILO:DF_UNE_2EAP_SEX_AGE_RT(1.0)
WEO Live 2019 October (ICP2017PPP Weights),IMF.RES.WEO,WEO_LIVE_2019_OCT_ICP2017PPP_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2019_OCT_ICP2017PPP_VINTAGE(1.0.0)
WEO Live 2001 May,IMF.RES.WEO,WEO_LIVE_2001_MAY_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2001_MAY_VINTAGE(1.0.0)
GEE Live 2025 January GAS1,IMF.RES.GEE,GEE_LIVE_2025_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2025_JAN_GAS1_VINTAGE(1.0.0)
Euro/ECU exchange rates - monthly data,ESTAT,ERT_BIL_EUR_M,1.0,ESTAT:ERT_BIL_EUR_M(1.0)
GAS Live 2024 January GAS1,IMF.RES.GAS,GAS_LIVE_2024_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2024_JAN_GAS1_VINTAGE(1.0.0)
GEE Live 2024 October GAS2,IMF.RES.GEE,GEE_LIVE_2024_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2024_OCT_GAS2_VINTAGE(1.0.0)
GAS Live 2025 April GAS3,IMF.RES.GAS,GAS_LIVE_2025_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2025_APR_GAS3_VINTAGE(1.0.0)
GEE Live 2025 July GAS1,IMF.RES.GEE,GEE_LIVE_2025_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2025_JUL_GAS1_VINTAGE(1.0.0)
WEO Live 2022 October,IMF.RES.WEO,WEO_LIVE_2022_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2022_OCT_VINTAGE(1.0.0)
GEE Live 2021 April Final,IMF.RES.GEE,GEE_LIVE_2021_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2021_APR_FINAL_VINTAGE(1.0.0)
Global Data Source (GDS),IMF.RES.GDS,GDS,2.0.0,IMF.RES.GDS:GDS(2.0.0)
GAS Live 2021 April Final,IMF.RES.GAS,GAS_LIVE_2021_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2021_APR_FINAL_VINTAGE(1.0.0)
GEE Live 2014 October GAS3,IMF.RES.GEE,GEE_LIVE_2014_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2014_OCT_GAS3_VINTAGE(1.0.0)
WEO Live 2003 April,IMF.RES.WEO,WEO_LIVE_2003_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2003_APR_VINTAGE(1.0.0)
GAS Live 2017 April Final,IMF.RES.GAS,GAS_LIVE_2017_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2017_APR_FINAL_VINTAGE(1.0.0)
International Trade in Goods (ITG) 2026 January,IMF.STA,ITG_2026_JAN_VINTAGE,1.0.0,IMF.STA:ITG_2026_JAN_VINTAGE(1.0.0)
GEE Live 2019 July Final,IMF.RES.GEE,GEE_LIVE_2019_JUL_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2019_JUL_FINAL_VINTAGE(1.0.0)
WEO Live 2025 January,IMF.RES.WEO,WEO_LIVE_2025_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2025_JAN_VINTAGE(1.0.0)
GEE Live 2025 January Final,IMF.RES.GEE,GEE_LIVE_2025_JAN_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2025_JAN_FINAL_VINTAGE(1.0.0)
"Monetary and Financial Statistics (MFS), Monetary Aggregates 2026 January",IMF.STA,MFS_MA_2026_JAN_VINTAGE,1.0.0,IMF.STA:MFS_MA_2026_JAN_VINTAGE(1.0.0)
GAS Live 2020 October GAS2,IMF.RES.GAS,GAS_LIVE_2020_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2020_OCT_GAS2_VINTAGE(1.0.0)
GAS Live 2013 April GAS3,IMF.RES.GAS,GAS_LIVE_2013_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2013_APR_GAS3_VINTAGE(1.0.0)
GEE Live 2014 October Final,IMF.RES.GEE,GEE_LIVE_2014_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2014_OCT_FINAL_VINTAGE(1.0.0)
Sovereign Risk and Debt Sustainability Framework for Market Access Countries (DSA_SRDSF),IMF.SPR,DSA_SRDSF,9.0.0,IMF.SPR:DSA_SRDSF(9.0.0)
Sustainable Bonds by Type of Currency,IMF.STA,ESG_FINANCE_CURRENCY,3.0.3,IMF.STA:ESG_FINANCE_CURRENCY(3.0.3)
WEO Live 2022 July,IMF.RES.WEO,WEO_LIVE_2022_JUL_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2022_JUL_VINTAGE(1.0.0)
WEO Live 2026 April,IMF.RES.WEO,WEO_LIVE_2026_APR_VINTAGE,1.1.0,IMF.RES.WEO:WEO_LIVE_2026_APR_VINTAGE(1.1.0)
GAS Live 2016 January GAS1,IMF.RES.GAS,GAS_LIVE_2016_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2016_JAN_GAS1_VINTAGE(1.0.0)
GEE Live 2025 July GAS1b,IMF.RES.GEE,GEE_LIVE_2025_JUL_GAS1B_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2025_JUL_GAS1B_VINTAGE(1.0.0)
Production Indexes (PI) 2026 January,IMF.STA,PI_2026_JAN_VINTAGE,1.0.0,IMF.STA:PI_2026_JAN_VINTAGE(1.0.0)
GEE Live 2022 April GAS3,IMF.RES.GEE,GEE_LIVE_2022_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2022_APR_GAS3_VINTAGE(1.0.0)
WEO Live 2018 January,IMF.RES.WEO,WEO_LIVE_2018_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2018_JAN_VINTAGE(1.0.0)
"International Trade in Goods, World and Country Aggregates 2026 February",IMF.STA,ITG_WCA_2026_FEB_VINTAGE,1.0.0,IMF.STA:ITG_WCA_2026_FEB_VINTAGE(1.0.0)
GEE Live 2012 October GAS2,IMF.RES.GEE,GEE_LIVE_2012_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2012_OCT_GAS2_VINTAGE(1.0.0)
GAS Live 2014 July GAS1,IMF.RES.GAS,GAS_LIVE_2014_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2014_JUL_GAS1_VINTAGE(1.0.0)
GEE Live 2006 September Final,IMF.RES.GEE,GEE_LIVE_2006_SEP_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2006_SEP_FINAL_VINTAGE(1.0.0)
GAS Live 2022 January GAS1c,IMF.RES.GAS,GAS_LIVE_2022_JAN_GAS1C_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2022_JAN_GAS1C_VINTAGE(1.0.0)
SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2021 international $ at PPP),ILO,DF_SDG_0821_NOC_RT,1.0,ILO:DF_SDG_0821_NOC_RT(1.0)
Commodity Forecast (PCPSF),IMF.RES,PCPSF,8.0.0,IMF.RES:PCPSF(8.0.0)
GEE Live 2022 October GAS2,IMF.RES.GEE,GEE_LIVE_2022_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2022_OCT_GAS2_VINTAGE(1.0.0)
Carbon Footprint of Bank Loans,IMF.STA,CFBL,1.0.3,IMF.STA:CFBL(1.0.3)
Fund Accounts (FA) 2026 February,IMF.STA,FA_2026_FEB_VINTAGE,1.0.0,IMF.STA:FA_2026_FEB_VINTAGE(1.0.0)
GAS Live 2013 October GAS2,IMF.RES.GAS,GAS_LIVE_2013_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2013_OCT_GAS2_VINTAGE(1.0.0)
GEE Live 2023 July GAS1,IMF.RES.GEE,GEE_LIVE_2023_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2023_JUL_GAS1_VINTAGE(1.0.0)
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates 2026 January",IMF.STA,QGDP_WCA_2026_JAN_VINTAGE,1.0.0,IMF.STA:QGDP_WCA_2026_JAN_VINTAGE(1.0.0)
GEE Live 2013 October Final,IMF.RES.GEE,GEE_LIVE_2013_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2013_OCT_FINAL_VINTAGE(1.0.0)
Primary Commodity Price System (PCPS),IMF.RES,PCPS,9.0.0,IMF.RES:PCPS(9.0.0)
GAS Live 2018 January GAS1,IMF.RES.GAS,GAS_LIVE_2018_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2018_JAN_GAS1_VINTAGE(1.0.0)
GEE Live 2025 April GAS3b,IMF.RES.GEE,GEE_LIVE_2025_APR_GAS3B_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2025_APR_GAS3B_VINTAGE(1.0.0)
GAS Live 2023 April GAS3,IMF.RES.GAS,GAS_LIVE_2023_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2023_APR_GAS3_VINTAGE(1.0.0)
GEE Live 2020 October Final,IMF.RES.GEE,GEE_LIVE_2020_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2020_OCT_FINAL_VINTAGE(1.0.0)
GEE Live 2024 April GAS3,IMF.RES.GEE,GEE_LIVE_2024_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2024_APR_GAS3_VINTAGE(1.0.0)
GEE Live 2012 October GAS3,IMF.RES.GEE,GEE_LIVE_2012_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2012_OCT_GAS3_VINTAGE(1.0.0)
GAS Live 2022 April GAS3b,IMF.RES.GAS,GAS_LIVE_2022_APR_GAS3B_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2022_APR_GAS3B_VINTAGE(1.0.0)
WEO Live 1999 September,IMF.RES.WEO,WEO_LIVE_1999_SEP_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1999_SEP_VINTAGE(1.0.0)
WEO Live 2024 July,IMF.RES.WEO,WEO_LIVE_2024_JUL_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2024_JUL_VINTAGE(1.0.0)
Gender Statistics (GS) Labor and Income,IMF.STA,GS_LI,1.0.0,IMF.STA:GS_LI(1.0.0)
Western Hemisphere Regional Economic Outlook (WHDREO) 2025 October,IMF.WHD,WHDREO_2025_OCT_VINTAGE,1.0.0,IMF.WHD:WHDREO_2025_OCT_VINTAGE(1.0.0)
GAS Live 2026 January GAS1,IMF.RES.GAS,GAS_LIVE_2026_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2026_JAN_GAS1_VINTAGE(1.0.0)
GAS Live 2010 June GAS0,IMF.RES.GAS,GAS_LIVE_2010_JUN_GAS0_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2010_JUN_GAS0_VINTAGE(1.0.0)
GAS Live 2016 October Final,IMF.RES.GAS,GAS_LIVE_2016_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2016_OCT_FINAL_VINTAGE(1.0.0)
Balance of Payments (BOP) 2026 January,IMF.STA,BOP_2026_JAN_VINTAGE,1.0.0,IMF.STA:BOP_2026_JAN_VINTAGE(1.0.0)
WEO Live 2005 April,IMF.RES.WEO,WEO_LIVE_2005_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2005_APR_VINTAGE(1.0.0)
GAS Live 2025 April GAS2,IMF.RES.GAS,GAS_LIVE_2025_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2025_APR_GAS2_VINTAGE(1.0.0)
WEO Live 2011 April,IMF.RES.WEO,WEO_LIVE_2011_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2011_APR_VINTAGE(1.0.0)
GEE Live 2023 April GAS2,IMF.RES.GEE,GEE_LIVE_2023_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2023_APR_GAS2_VINTAGE(1.0.0)
GAS Live 2014 April GAS2,IMF.RES.GAS,GAS_LIVE_2014_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2014_APR_GAS2_VINTAGE(1.0.0)
Environmental Taxes,IMF.STA,ENVTX,1.0.2,IMF.STA:ENVTX(1.0.2)
GEE Live 2003 September Final,IMF.RES.GEE,GEE_LIVE_2003_SEP_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2003_SEP_FINAL_VINTAGE(1.0.0)
World Economic Outlook (WEO) 2025 October,IMF.RES,WEO_2025_OCT_VINTAGE,1.0.0,IMF.RES:WEO_2025_OCT_VINTAGE(1.0.0)
GEE Live 2020 October GAS2,IMF.RES.GEE,GEE_LIVE_2020_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2020_OCT_GAS2_VINTAGE(1.0.0)
GAS Live 2024 April Final,IMF.RES.GAS,GAS_LIVE_2024_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2024_APR_FINAL_VINTAGE(1.0.0)
GEE Live 2018 January GAS1,IMF.RES.GEE,GEE_LIVE_2018_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2018_JAN_GAS1_VINTAGE(1.0.0)
WEO Live 2020 June,IMF.RES.WEO,WEO_LIVE_2020_JUN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2020_JUN_VINTAGE(1.0.0)
Labor Statistics (LS) 2026 January,IMF.STA,LS_2026_JAN_VINTAGE,1.0.0,IMF.STA:LS_2026_JAN_VINTAGE(1.0.0)
GAS Live 2018 October GAS3,IMF.RES.GAS,GAS_LIVE_2018_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2018_OCT_GAS3_VINTAGE(1.0.0)
International Liquidity (IL),IMF.STA,IL,13.0.1,IMF.STA:IL(13.0.1)
GAS Live 2022 October GAS2,IMF.RES.GAS,GAS_LIVE_2022_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2022_OCT_GAS2_VINTAGE(1.0.0)
"Monetary and Financial Statistics (MFS), Interest Rate 2026 February",IMF.STA,MFS_IR_2026_FEB_VINTAGE,1.0.0,IMF.STA:MFS_IR_2026_FEB_VINTAGE(1.0.0)
GAS Live 2020 January GAS1,IMF.RES.GAS,GAS_LIVE_2020_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2020_JAN_GAS1_VINTAGE(1.0.0)
Climate Change Indicators,IMF.STA,CCI,4.0.1,IMF.STA:CCI(4.0.1)
GAS Live 2021 April GAS3,IMF.RES.GAS,GAS_LIVE_2021_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2021_APR_GAS3_VINTAGE(1.0.0)
WEO Live 2020 April,IMF.RES.WEO,WEO_LIVE_2020_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2020_APR_VINTAGE(1.0.0)
Trade in Low Carbon Technology Goods (TEG),IMF.STA,TEG,3.0.2,IMF.STA:TEG(3.0.2)
GEE Live 2016 January GAS1,IMF.RES.GEE,GEE_LIVE_2016_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2016_JAN_GAS1_VINTAGE(1.0.0)
Renewable Energy,IMF.STA,RE,2.0.1,IMF.STA:RE(2.0.1)
WEO Live 2015 July,IMF.RES.WEO,WEO_LIVE_2015_JUL_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2015_JUL_VINTAGE(1.0.0)
Labor Statistics (LS),IMF.STA,LS,9.0.0,IMF.STA:LS(9.0.0)
GAS Live 2024 October GAS2,IMF.RES.GAS,GAS_LIVE_2024_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2024_OCT_GAS2_VINTAGE(1.0.0)
"Monetary and Financial Statistics (MFS), Financial Market Prices 2026 January",IMF.STA,MFS_FMP_2026_JAN_VINTAGE,1.0.0,IMF.STA:MFS_FMP_2026_JAN_VINTAGE(1.0.0)
GEE Live 2021 January Final,IMF.RES.GEE,GEE_LIVE_2021_JAN_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2021_JAN_FINAL_VINTAGE(1.0.0)
GEE Live 2014 January Final,IMF.RES.GEE,GEE_LIVE_2014_JAN_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2014_JAN_FINAL_VINTAGE(1.0.0)
WEO Live 2016 July,IMF.RES.WEO,WEO_LIVE_2016_JUL_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2016_JUL_VINTAGE(1.0.0)
Export Quality (EQ),IMF.RES,EQ,2.0.0,IMF.RES:EQ(2.0.0)
GEE Live 2025 April Final,IMF.RES.GEE,GEE_LIVE_2025_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2025_APR_FINAL_VINTAGE(1.0.0)
